time,frame,throttle,brake,steer,speed,imu_ax,imu_ay,imu_az
1765391337.5483165,23226,0.348,0.000,0.000,8.086,85772.7031,131557.0000,-3.8807
1765391337.5503168,23227,0.351,0.000,0.001,8.084,85772.7031,131557.0000,-3.8807
1765391337.5575225,23228,0.351,0.000,0.001,8.086,85772.7031,131557.0000,-3.8807
1765391337.5660357,23229,0.351,0.000,0.001,8.080,85772.7031,131557.0000,-3.8807
1765391337.5730495,23230,0.351,0.000,0.001,8.083,85772.7031,131557.0000,-3.8807
1765391337.5830677,23231,0.360,0.000,-0.000,8.070,85772.7031,131557.0000,-3.8807
1765391337.5941732,23232,0.360,0.000,-0.000,8.075,85772.7031,131557.0000,-3.8807
1765391337.6241786,23233,0.360,0.000,-0.000,8.075,85772.7031,131557.0000,-3.8807
1765391337.62518,23234,0.360,0.000,-0.000,8.077,85772.7031,131557.0000,-3.8807
1765391337.6337547,23235,0.380,0.000,0.000,8.073,85772.7031,131557.0000,-3.8807
1765391337.6421924,23236,0.380,0.000,0.000,8.078,96619.7031,58228.2148,10.4644
1765391337.6504817,23237,0.380,0.000,0.000,8.062,96619.7031,58228.2148,10.4644
1765391337.658988,23238,0.380,0.000,0.000,8.070,96619.7031,58228.2148,10.4644
1765391337.6700425,23239,0.376,0.000,0.001,8.068,96619.7031,58228.2148,10.4644
1765391337.6795459,23240,0.376,0.000,0.001,8.069,96619.7031,58228.2148,10.4644
1765391337.710094,23241,0.376,0.000,0.001,8.071,96619.7031,58228.2148,10.4644
1765391337.711094,23242,0.376,0.000,0.001,8.073,96619.7031,58228.2148,10.4644
1765391337.719106,23243,0.382,0.000,0.000,8.077,96619.7031,58228.2148,10.4644
1765391337.7272015,23244,0.382,0.000,0.000,8.073,96619.7031,58228.2148,10.4644
1765391337.7346332,23245,0.382,0.000,0.000,8.078,96619.7031,58228.2148,10.4644
1765391337.7442584,23246,0.382,0.000,0.000,8.065,96619.7031,58228.2148,10.4644
1765391337.7552655,23247,0.369,0.000,-0.000,8.075,96619.7031,58228.2148,10.4644
1765391337.784374,23248,0.369,0.000,-0.000,8.076,96619.7031,58228.2148,10.4644
1765391337.7856393,23249,0.369,0.000,-0.000,8.082,96619.7031,58228.2148,10.4644
1765391337.7936502,23250,0.369,0.000,-0.000,8.081,96619.7031,58228.2148,10.4644
1765391337.8021572,23251,0.372,0.000,0.000,8.086,96619.7031,58228.2148,10.4644
1765391337.809188,23252,0.372,0.000,0.000,8.078,96619.7031,58228.2148,10.4644
1765391337.8194637,23253,0.372,0.000,0.000,8.086,96619.7031,58228.2148,10.4644
1765391337.829974,23254,0.372,0.000,0.000,8.084,96619.7031,58228.2148,10.4644
1765391337.8590631,23255,0.356,0.000,0.000,8.085,96619.7031,58228.2148,10.4644
1765391337.8610635,23256,0.356,0.000,0.000,8.087,96619.7031,58228.2148,10.4644
1765391337.8680782,23257,0.356,0.000,0.000,8.091,96619.7031,58228.2148,10.4644
1765391337.8773878,23258,0.356,0.000,0.000,8.085,96619.7031,58228.2148,10.4644
1765391337.884398,23259,0.358,0.000,0.000,8.090,96619.7031,58228.2148,10.4644
1765391337.894591,23260,0.358,0.000,0.000,8.076,96619.7031,58228.2148,10.4644
1765391337.905137,23261,0.358,0.000,0.000,8.085,96619.7031,58228.2148,10.4644
1765391337.9364147,23262,0.358,0.000,0.000,8.086,96619.7031,58228.2148,10.4644
1765391337.9384155,23263,0.351,0.000,0.001,8.090,96619.7031,58228.2148,10.4644
1765391337.9449255,23264,0.351,0.000,0.001,8.085,96619.7031,58228.2148,10.4644
